Class,Sentence
NomAnaph,"Nevertheless,  in  view  of  the  world-wide  notoriety  which  attended  it,  I  have  been  asked,  both  by  my  friend  Poirot  and  the  family  themselves,  to  write  an  account  of  the  whole  story. "
ClauseAnaph,"It's  simply  bare-faced  fortune  hunting;  but  there  you  are...she  is  her  own  mistress,  and  she's  married  him. "
NomAnaph,"Mary  was  situated  about  two  miles  from  the  little  station,  and  Styles  Court  lay  a  mile  the  other  side  of  it. "
ClauseAnaph,"She  is  up  at  five  every  morning  to  milk,  and  keeps  at  it  steadily  until  lunchtime. "
ClauseAnaph,Don't  say  it. 
NomAnaph,"In  case  of  a  refusal,  Lady  Tadminster  might  open  it  the  first  day,  and  Mrs.  Crosbie  the  second. "
NomAnaph,"The  French  window  swung  open  a  little  wider,  and  a  handsome  white-haired  old  lady,  with  a  somewhat  masterful  cast  of  features,  stepped  out  of  it  on  to  the  lawn. "
NomAnaph,It  was  one  of  the  longest  and  blackest  I  have  ever  seen. 
ClauseAnaph,"It  struck  me  that  he  might  look  natural  on  a  stage,  but  was  strangely  out  of  place  in  real  life. "
NomAnaph,And  you  will  return  there  after  it  is  over? 
ClauseAnaph,"But  really,  seriously,  I  am  awfully  drawn  to  it. "
NomAnaph,"Don't  mean  the  police,  but  the  people  that  are  right  in  it. "
ClauseAnaph,Mightn't  be  able  to  prove  it  to  a  pack  of  lawyers. 
NomAnaph,Associate  it  more  with  a  man. 
NomAnaph,It  makes  me  feel  as  if  a  goose  were  walking  over  my  grave. 
ClauseAnaph,"She  jumped  up  promptly,  and  something  in  her  manner  reminded  me  that  her  position  was  a  dependent  one,  and  that  Mrs.  Inglethorp,  kind  as  she  might  be  in  the  main,  did  not  allow  her  to  forget  it. "
NomAnaph,"Well,  don't  let  him  have  too  much  of  it. "
ClauseAnaph,"I  went  on,  'I'm  going  to  warn  you,  whether  you  like  it  or  not. "
NomAnaph,I  brushed  it  aside. 
NomAnaph,"Yes,  it's  a  fine  property. "
NomAnaph,We  were  all  busy  during  the  morning  arranging  and  decorating  the  Hall  in  the  village  where  it  was  to  take  place. 
NomAnaph,Cynthia  took  the  bottle  and  examined  it  with  the  severity  of  a  judge. 
ClauseAnaph,"So  now  it  can't  be  done  until  tomorrow,  finished  Cynthia. "
ClauseAnaph,"Well,  said  Cynthia  graciously,  we  are  very  busy,  but  if  we  have  time  it  shall  be  done. "
NomAnaph,"The  little  nurse  withdrew,  and  Cynthia  promptly  took  a  jar  from  the  shelf,  refilled  the  bottle,  and  placed  it  on  the  table  outside  the  door. "
NomAnaph,"His  head  was  exactly  the  shape  of  an  egg,  and  he  always  perched  it  a  little  on  one  side. "
NomAnaph,Mary  Cavendish  was  saying  in  the  voice  of  a  woman  desperately  controlling  herself:  Then  you  won't  show  it  to  me? 
NomAnaph,Then  show  it  to  me. 
NomAnaph,I  tell  you  it  is  not  what  you  imagine. 
NomAnaph,It  does  not  concern  you  in  the  least. 
NomAnaph,I  will  pour  it  out. 
NomAnaph,I  will  take  it  to  Emily. 
NomAnaph,"He  poured  it  out,  and  went  out  of  the  room  carrying  it  carefully. "
